ena_sampleA	ena_sampleB
SAMEA9070351	SAMEA9070352
SAMEA9070353	SAMEA9070354
SAMEA9070378	SAMEA9070377
SAMEA9070398	SAMEA9070397
SAMEA9070399	SAMEA9070400
SAMEA9070402	SAMEA9070403
SAMEA9070414	SAMEA9070412
SAMEA9070415	SAMEA9070416
SAMEA9070420	SAMEA9070419
SAMEA9070428	SAMEA9070427
SAMEA9070439	SAMEA9070440
SAMEA9070442	SAMEA9070443
SAMEA9070463	SAMEA9070462
SAMEA9070465	SAMEA9070466
SAMEA9070476	SAMEA9070475
SAMEA9070511	SAMEA9070510
SAMEA9070512	SAMEA9070513
SAMEA9070516	SAMEA9070514
SAMEA9070519	SAMEA9070518
SAMEA9070520	SAMEA9070521
SAMEA9070539	SAMEA9070538
SAMEA9070542	SAMEA9070541
SAMEA9070547	SAMEA9070546
SAMEA9070552	SAMEA9070551
SAMEA9070565	SAMEA9070566
SAMEA9070569	SAMEA9070570
SAMEA9070586	SAMEA9070587
SAMEA9070590	SAMEA9070589
SAMEA9070598	SAMEA9070597
SAMEA9070604	SAMEA9070603
SAMEA9070606	SAMEA9070605
SAMEA9070609	SAMEA9070608
SAMEA9070616	SAMEA9070617
SAMEA9070621	SAMEA9070620
SAMEA9070633	SAMEA9070632
SAMEA9070636	SAMEA9070638
SAMEA9070637	SAMEA9070639
SAMEA9070642	SAMEA9070643
SAMEA9070644	SAMEA9070645
SAMEA9070652	SAMEA9070651
SAMEA9070654	SAMEA9070655
SAMEA9070656	SAMEA9070657
SAMEA9070679	SAMEA9070680
SAMEA9070685	SAMEA9070684
SAMEA9070687	SAMEA9070686
SAMEA9070703	SAMEA9070704
SAMEA9070715	SAMEA9070716
SAMEA9070728	SAMEA9070729
SAMEA9070732	SAMEA9070733
SAMEA9070737	SAMEA9070738
SAMEA9070755	SAMEA9070754
SAMEA9070757	SAMEA9070758
SAMEA9070762	SAMEA9070759
SAMEA9070768	SAMEA9070767
SAMEA9070776	SAMEA9070777
SAMEA9070779	SAMEA9070780
